,Solvent,CHEM21,CHEM21 Numerical,Molecular Weight,Boiling Point,Melting Point,Density,Viscosity,Vapor Pressure,Refractive Index,LogP,Dipole Moment,Dielectric Constant,Alpha,Beta,Pi,Dispersion,Polarity,H Bonding,Molar Volume,Alternative Name,Functional Group,Grignard,Amide Coupling 1,Amide Coupling 2,Heck,Baylis-Hillman,Suzuki-Miyaura Pd,Suzuki-Miyaura Ni,Buchwald-Hartwig,Alkene Metathesis,SNAr,cost
306,1-chloropropane,,,78.02,46.6,-122.8,0.8899,2.182573259,344.4,1.3879,2.04,2.05,12.04653538,0.424644936,0.138027488,0.549603933,16,7.8,2,88.1,,,,,,,,,,,,,
305,Benzene,Highly Hazardous,0,78.11,80.08,5.558,0.8756,0.604,94.8,1.5011,2.13,0,2.275,0,0.1,0.59,18.4,0,2,89.21128369,Benzene,Arene,,,,,,,,,,,48 Ã‚Â£/L
304,Dimethyl sulfoxide,Problematic,2,78.13,189,18.45,1.1,1.99,0.6,1.4783,-1.35,3.96,46.68,0,0.76,1,18.4,16.4,10.2,71.02618182,Dimethylsulfoxide,No Group,,,87,63.5,60,,0,,,,160 Ã‚Â£/L
303,Pyridine,Hazardous,1,79.1,115.25,-41.6,0.98272,0.88,20.8,1.5092,0.65,2.19,12.5,0,0.64,0.87,19,8.8,5.9,80.49088245,Pyridine,No Group,,,,,,,,,,,130 Ã‚Â£/L
302,2-chloroethanol,,,80,129,-67,1.2,7.340438466,65.57524419,1.4419,-0.06,1.78,33.20223739,1.28,0.53,0.46,17.52750622,9.785284505,17.62772377,62.12845081,,,,,,,,,,,,,
301,pyrimidine,,,80.04,145.9228798,22,1.138218258,4.170628098,105.4411263,1.377737362,-0.4,3.426183902,46.44961693,0.650226462,0.348659799,0.814126398,16.24684774,15.07952905,13.02165473,56.60062382,,,,,,,,,,,,,
300,thiophene,,,84,84,-38,1.06,0.621,153.854296,1.52684,1.81,0.292438588,-0.221619737,-0.080491146,0.125768091,0.506732542,17.79774583,0.712150907,0.973485153,86.98173269,,,,,,,,,,,,,
299,cyclopentanone,,,84.06,131,-51,0.955,3.176016198,11.4,1.435,0.38,2.93,17.1932105,0,0.52,0.76,18.15101098,7.276550692,6.454245039,87.4981137,,,,,,,,,,,,,
298,methylcyclopentane,,,84.09,71.8,-139.8,0.7486,1.859432699,138,1.4097,3.37,0.716613339,8.447014615,0.326353923,0.292232144,0.135466508,16.6717125,2.733061867,4.296893329,91.76123027,,,,,,,,,,,,,
297,Cyclohexane,Problematic,2,84.16,80.7,6.47,0.7781,0.89,97.5,1.42662,3.44,0.61,2,0,0,0,16.8,0,0.2,108.1619329,Cyclohexane,Alkane,,,,,,,,,,,21.5 Ã‚Â£/L
296,Dichloromethane,Hazardous,1,84.93,39.75,-95,1.3255,0.41,435,1.4244,1.25,1.6,9.1,0.13,0.1,0.82,18.2,6.3,6.1,64.07604677,Dichloromethane,No Group,,100,91,,,,,,97,,19 Ã‚Â£/L
295,piperidine,,,85.09,106,-7,0.86,7.142387918,32.1,1.452,0.84,1.30200818,5.9,0,1.04,0.3,17.20554063,0.622464569,6.317276586,111.2791987,,,,,,,,,,,,,
294,N-methylpyrrolidinone,Hazardous,1,85.15,202,-25,1.027,1.65,0.345,1.469,-0.38,4.09,32.2,0,0.77,0.92,18,12.3,7.2,82.91139241,N-methylpyrolidine,No Group,,,,69,100,,,,,,37 Ã‚Â£/L
293,chlorodifluoromethane,,,85.97,-41,-146,3.11,2.739881788,7250,1.256,1.08,2.258061537,6.11,0.648867284,0.203098563,0.667887805,12.3,6.3,5.7,72.9,,,,,,,,,,,,,
291,3-pentanone,#9ACD32,,86,101.9,-39,0.8,0.45,37.653,1.392,0.85,2.7,17.3,0,0.45,0.72,15.8,7.6,4.7,106.4,,,,,,,,,,,,,
292,Methyl isopropyl ke-ne,#9ACD32,,86,94,-94.4,0.8501,0.454,52.714,1.388,0.84,2.77,10.28627703,-0.134513375,0.492009932,0.549713658,15.8,6.8,5,107.8,,,,,,,,,,,,,
290,gammabutyrolac-ne,,,86.04,204,-44,1.125,3.748832974,0.45,1.444,-0.64,3.82,37.69879488,-0.049663117,0.532899451,0.960314285,18,16.6,7.4,76.5,,,,,,,,,,,,,
288,2-pentanone,,,86.07,88,-49.2,0.8814,3.199889931,137.9358376,1.4211,0.95,1.40595725,2.4,0,0.54,0.51,17.25044261,3.577782359,5.178815151,104.4203738,,,,,,,,,,,,,
289,oxane,,,86.07,102,-78,0.81,2.051824858,35.4,1.3895,0.91,2.72,15.70658443,0,0.52,0.65,16,7.6,4.7,107.3,,,,,,,,,,,,,
287,2-methylpentane,,,86.11,60,-153,0.6555,2.197078218,211,1.3715,3.2,0.737018666,6.955433147,0.41459171,0.206422139,0.113177928,15.46514693,2.096924049,5.561105315,110.5788303,,,,,,,,,,,,,
286,Methyl tetrahydrofuran,Problematic,2,86.13,81,-136,0.85,0.4753,81.8,1.406,0.82,1.38,6.97,0,0.58,0.53,16.9,5,4.3,101.3334118,Methyl tetrahydrofuran,No Group,81,100,,,,96,100,98,38,,54 Ã‚Â£/L
285,Hexane,Hazardous,1,86.18,68.7,-95.35,0.6606,0.295,153,1.3727,3.9,0,1.88,0,0,-0.04,14.9,0,0,130.4520133,hexane,Alkane,,,,,,,,,,,70 Ã‚Â£/L
283,morpholine,,,87.07,129,-5,1,2.23,10.1,1.454,-0.86,1.964398202,15.67306271,0.29,0.7,0.39,18.8,4.9,9.2,87.1,,,,,,,,,,,,,
284,"N,N-Dimethyl Acetamide",,,87.07,165,-20,0.94,0.92,-47.70921428,1.4358,-0.77,3.27124903,33.68112682,0,0.76,0.88,16.8,11.5,10.2,93,,,,,,,,,,,,,
282,4-dioxane,#FF6347,,88,101.5,11.8,1,1.19,38.103,1.4224,0.42,0.340738226,2.25,0.494357638,0.470568852,0.537293525,17.5,1.8,9,85.7,,,,,,,,,,,,,
281,thiolane,,,88.03,120,-96.2,1,0.137392932,128.0345825,1.5048,1.8,0.971951369,0.382790681,0,0.44,0.62,17.58888803,1.776056002,2.01606408,112.1721755,,,,,,,,,,,,,
277,butyricacid,,,88.05,164,-7.9,0.954,1.426,1.65,1.398,0.79,1.23,3,0.489083526,0.62082323,0.400268268,14.9,4.1,10.6,110,,,,,,,,,,,,,
278,propylformate,,,88.05,153.5,-47,0.946,1.126,1.81,1.3935,0.88,1.09,2.7,0.489083526,0.594276117,0.400268268,15.00533225,1.52622537,10.77636494,109.925782,,,,,,,,,,,,,
279,methylpropanoate,,,88.05,81,-92.9,0.9,2.645335225,62.64454163,1.3765,0.83,1.9,7.9,0.766209128,0.473682265,0.539783616,15.45393701,4.757338083,13.84867505,99.56834902,,,,,,,,,,,,,
280,2-methylpropanoicacid,,,88.05,80,-88,0.915,3.457498711,143.6158721,1.3765,0.82,1.7,5.4,0.706511431,0.454360796,0.3099248,14.99341132,2.876579228,9.781832599,107.6332317,,,,,,,,,,,,,
276,Ethylene carbonate,No Ranking,,88.06,248,36.4,1.3214,1.93,979,1.4148,-0.9,4.51,89.78,0,0.32,0.99,19.4,21.7,5.1,66.64355986,,No Group,,,,,,,,,,,38 Ã‚Â£/L
275,tetramethylsilane,,,88.07,26.6,-99.06,0.641,-0.222699843,718,1.3587,3.24,0.492102712,1.921,0,0.02,-0.09,15.3502296,1.299329608,0.373347432,122.1445503,,,,,,,,,,,,,
272,amylalcohol,,,88.09,138,-79,0.813,5.822307619,2.2,1.4095,1.51,1.7,13.9,0.688469566,0.555050428,0.378427184,16,4.5,13.9,109,,,,,,,,,,,,,
273,2-methyl-2-butanol,,,88.09,87.35,-8.4,0.8096,5.702262059,16.7,1.4052,0.89,1.7,11.7,0.28,0.93,0.4,15.99735132,4.793734093,13.45418182,113.8492375,,,,,,,,,,,,,
274,pentan-3-ol,,,88.09,116,-8,0.8,11.09368102,29.60838609,1.432521277,1.21,0.634236635,6.841075485,0.555810013,0.711347315,0.256657342,17.16847173,1.508232086,10.59124352,116.3329356,,,,,,,,,,,,,
270,Dioxane,Recommended,3,88.11,101.2,11.75,1.0337,1.18,38.1,1.4224,-0.27,0,2.2,0,0.37,0.55,19,1.8,7.4,85.23749637,Ethyl acetate,No Group,,100,89,,,95,100,72,97,,28 Ã‚Â£/L
271,Ethyl acetate,Hazardous,1,88.11,77.1,-83.8,0.9003,0.42,93.2,1.3723,0.73,1.78,6,0,0.45,0.55,15.8,5.3,7.2,97.86293458,Dioxane,No Group,,,,,,,,,,,56 Ã‚Â£/L
268,i-Amyl alcohol,Hazardous,1,88.15,132.5,-117.2,0.813,3.738,2.37,1.4075,1.16,1.7,15.2,0.84,0.86,0.4,15.8,5.2,13.3,108.4246002,t-Butyl methyl ether,No Group,,100,,,,98,100,92,,,45 Ã‚Â£/L
269,Methyl tert-butyl ether,No Ranking,,88.15,55.1,-108.6,0.7353,0.319,250,1.3664,0.94,1.36,2.6,0.264705882,0.419019608,0.624716981,14.8,4.3,5,119.8819529,,No Group,,,,,,,,,,,62 Ã‚Â£/L
266,2-nitropropane,,,89.05,132,-108,1,0.79,10.1,1.4018,0.87,3.731297024,25.96932693,-0.085204632,0.531038312,0.891451782,16.6,12.3,5.5,89.5,,,,,,,,,,,,,
267,nitropropane,,,89.05,120,-91,0.99,0.721,17.2,1.3944,0.93,3.73,27.0931558,-0.085204632,0.476902079,0.911162305,16.2,12.1,4.1,86.9,,,,,,,,,,,,,
