,Molecular Weight,Boiling Point,Melting Point,Density,Viscosity,Vapor Pressure,Refractive Index,LogP,Dipole Moment,Dielectric Constant,Alpha,Beta,Pi,Dispersion,Polarity,H Bonding,Molar Volume
89,114.1,144.0,-74.0,0.81,0.77,5.77,1.4062,1.72,1.8150615815925806,13.047969019589077,0.206521591771346,0.46983670710415065,0.4356232450690576,16.0,5.7,4.1,142.8
90,44.03,20.2,-123.0,0.79,0.21,902.0,1.37,0.63,2.69,12.25639427876904,0.47776402108143634,0.5374660469148611,0.6223051911937975,14.7,8.0,11.3,57.1
91,120.06,202.0,20.0,1.028,1.681,0.397,1.5325,1.58,3.9080754780506353,32.043965071571535,0.04,0.49,0.9,19.6,8.6,3.7,117.4
92,77.99,51.0,-112.0,1.11,1.6735637190465722,287.0,1.3898,-0.47,3.289652222038774,41.67166543012786,0.21710931349601492,0.20618752928286752,0.7751803761868042,15.8,10.6,3.9,71.0
93,53.03,77.0,-84.0,0.81,0.7141026238263766,109.0,1.3911,0.25,3.057803872538385,38.0,-0.017805546284239825,0.5762919899704134,0.6949355200347446,16.4,17.4,6.8,67.1
94,58.04,97.0,-129.0,0.85,1.218,25.4,1.41345,0.17,1.9622088345476938,22.0,0.7615894695822021,0.6845990401558889,0.6504771450676801,16.2,10.8,16.8,68.4
95,88.09,138.0,-79.0,0.813,5.822307619121567,2.2,1.4095,1.51,1.7,13.9,0.6884695658188843,0.5550504278272387,0.37842718398333197,16.0,4.5,13.9,109.0
96,106.04,179.0,-26.0,1.044,0.7210614511785229,1.27,1.5455,1.48,2.631389276134109,18.0,-0.11673595284849055,0.24919287959035052,0.879728263850487,19.4,7.4,5.3,101.5
97,122.04,249.0,122.0,1.0,1.26,0.0007,1.504,1.87,1.0,14.216527467612275,0.6451282663651059,0.4682766294507757,0.8353851344121933,18.2,7.0,9.8,100.0
98,103.04,190.7,-12.8,1.0,5.038752762410547,0.768,1.5289,1.56,3.9267226864165754,26.0,0.0,0.37,0.9,17.4,9.0,3.3,102.6
99,212.08,324.0,21.0,1.117,8.292,224.0,1.56325,3.97,2.419772453564209,4.8,0.29433345136070826,0.15545694385163833,0.6582963865005755,20.0,5.1,5.2,190.3
100,312.14,370.0,-35.0,1.1,1.5517139222323544,8.25e-06,1.5375,4.77,3.8702547354398984,32.35127530950588,0.05132770481800873,0.2813849115634553,0.856700303261558,19.0,11.3,3.1,306.0
101,198.1,297.8,3.6,1.0425,8.719,46.60115165609893,1.5605,3.31,1.1393029079121113,7.964196417356374,0.22894461781556044,0.3339211839347367,0.28475506785122395,17.4,3.7,7.4,192.7
102,170.03,187.0,5.0,1.1,2.5978809867309463,101.9430744742724,1.4505,2.36,3.5264967031117793,24.712146241781156,0.05673010210387219,0.18458976131523575,0.8076685610214299,19.0,8.2,5.1,146.0
103,155.96,156.2,-30.7,1.5,1.0727084049183382,69.40928003718156,1.5597,2.99,2.4567030986422624,5.4,0.0,0.06,0.79,20.5,5.5,4.1,105.3
104,127.9,68.0,-88.0,1.93,3.284138528267476,142.0,1.4808,1.41,1.6347480988604464,7.7,0.3505355480660967,0.13947713159823677,0.48772589306115444,17.4,5.7,3.5,65.0
105,107.96,38.4,-119.0,1.46,0.379,467.0,1.4242,1.61,2.03,4.9,0.11652102726999401,0.09097533797375101,0.651355080500056,16.6,8.0,5.1,76.9
